body,title,url
"
	Al celebrarse el 50° aniversario del Día de la Tierra, deberíamos estar orgullosos del impresionante progreso ambiental que la sociedad ha logrado durante este período. También deberíamos pensar cómo podemos hacer que los próximos 50 años sean mucho más efectivos.","
          El Día de la Tierra cumple 50 años: Una sorprendente historia de éxito        ",https://www.lostiempos.com/actualidad/opinion/20200422/columna/dia-tierra-cumple-50-anos-sorprendente-historia-exito
"
	Subirse a una moto de carreras, dominar la tierra o el barro para no caer y tener el control absoluto en una competencia, requiere mucha preparación física y psicológica. Muchos solo lo sueñan, algunos lo logran y muy pocos como Miguel ""El Pity"" Ortiz van más allá.","
          ""El Pity"" Ortiz: el motociclista apasionado que perdió una pierna pero no su amor por los motores        ",https://www.lostiempos.com/entrevistas/20191010/pity-ortiz-motociclista-apasionado-que-perdio-pierna-pero-no-su-amor-motores
"
	¿Se ha dado cuenta de que hay un bombardeo cuasi permanente de palabras como resiliencia, empatía y oportunidad, o frases como “saldremos juntos de esta”, “tienes que ver el lado positivo del asunto”, “debes sacar el mejor lado de esta cuarentena”, y otras así? Dichas sin ton ni son, pueden conducir a un desquiciamiento porque piden estar feliz todo el tiempo.","
          La nostalgia de los abrazos        ",https://www.lostiempos.com/actualidad/opinion/20200421/columna/nostalgia-abrazos
"
	En Europa, algunos países analizan la forma de que el fútbol vuelva a la acción. En Sudamérica, esa posibilidad aún parece un poco lejana por las diferentes cuarentenas que se llevan adelante por el coronavirus.","
          Cuerpo médico de Wilstermann trabaja en los protocolos de bioseguridad        ",https://www.lostiempos.com/deportes/futbol/20200423/cuerpo-medico-wilstermann-trabaja-protocolos-bioseguridad
"
Bolivianos que estén varados en Europa podrán retornar al país en mayo en una aeronave gestionada por la Embajada de España en La Paz, que de regreso trasladará a españoles que se encuentran en Bolivia en medio de la emergencia sanitaria por la Covid-19, informó la Cancillería boliviana. ","
          Bolivia gestiona con España un vuelo de repatriación mutua para mayo        ",https://www.lostiempos.com/actualidad/pais/20200423/bolivia-gestiona-espana-vuelo-repatriacion-mutua-mayo
"
	En 1970, se convocó en EEUU por primera vez una manifestación para pedir un planeta menos contaminado. En esa oportunidad se reunieron 20 millones de personas, y la fecha quedó instaurada  como el Día de la Tierra.","
          El 50 Día de la Tierra se celebra con actividades online en medio de la cuarentena        ",https://www.lostiempos.com/tendencias/medio-ambiente/20200422/50-dia-tierra-se-celebra-actividades-online-medio-cuarentena
"
	Pese al acuerdo firmado ayer entre autoridades y dirigentes del trópico de Cochabamba, algunos policías que fueron destinados a esta región insisten en su cambio de destino; alegan que no existen las garantías para el desarrollo de sus funciones.","
          Policías destinados al trópico piden otro lugar pese a acuerdo        ",https://www.lostiempos.com/actualidad/cochabamba/20200423/policias-destinados-al-tropico-piden-otro-lugar-pese-acuerdo
"
La Casa Internacional de la Música de Moscú (CIMM) y el Concurso de piano ""Vladímir Kráinev"" anunciaron hoy la convocatoria de un certamen ""online"" de grabaciones caseras de pianistas de hasta 22 años, para alentarles en medio de las cuarentenas por la pandemia de Covid-19.","
          Moscú convoca a concurso internacional ""online"" de pianistas jóvenes        ",https://www.lostiempos.com/doble-click/cultura/20200423/moscu-convoca-concurso-internacional-online-pianistas-jovenes
"
	La empresa cochabambina Manaco brindó su apoyo al personal de salud que se enfrenta a la pandemia Covid-19 y donó 100 pares de botas sanitarias para los trabajadores de cinco hospitales de Cercado, Quillacollo, Sipe Sipe, Vinto y Tiquipaya.","
           Manaco entrega botas sanitarias al personal de salud que lucha contra la pandemia Covid-19        ",https://www.lostiempos.com/actualidad/cochabamba/20200423/manaco-entrega-botas-sanitarias-al-personal-salud-que-lucha-contra
"
	Después de varias horas de reunión, la Policía firmó un acta de entendimiento con autoridades del trópico de Cochabamba para retomar sus funciones en la región. La aplicación del acuerdo es de carácter inmediato, por lo que los uniformados refugiados en instalaciones de la Unidad Móvil de Patrullaje Rural (Umopar) de Chimoré volverán a sus funciones en los municipios y oficinas designados.","
          Acuerdo: Policía retoma funciones en el trópico de Cochabamba        ",https://www.lostiempos.com/actualidad/cochabamba/20200422/acuerdo-policia-retoma-funciones-tropico-cochabamba
,,https://www.lostiempos.com/sites/default/files/opinion/20204/pipocas_23_04_20.jpg
"
	En el Día Internacional del Libro 2020 muchos títulos nacionales e internacionales de obras han salido a la palestra para recordar a los lectores su aporte. En Bolivia hay una gran variedad de escritos y para todos los géneros y gustos, siendo la literatura deportiva un ""capítulo exclusivo"" que todos los amantes de la actividad muscular deben conocer.","
          Día Internacional del Libro: opciones de la literatura deportiva boliviana        ",https://www.lostiempos.com/deportes/entretiempo/20200423/dia-internacional-del-libro-opciones-literatura-deportiva-boliviana
,,https://www.lostiempos.com/organizacion/ministerio-educacion
